"date","area","site","ufp"
2001-10-09,"london","nkens",15004.84625
2001-10-10,"london","nkens",13173.0193645833
2001-10-11,"london","nkens",11290.7297395833
2001-10-12,"london","nkens",22706.4175833333
2001-10-13,"london","nkens",24953.3110104167
2001-10-14,"london","nkens",12318.0694791667
2001-10-15,"london","nkens",11437.4550833333
2001-10-16,"london","nkens",15837.9937311828
2001-10-17,"london","nkens",21156.0356666667
2001-10-18,"london","nkens",13569.38953125
2001-10-19,"london","nkens",17088.9759375
2001-10-20,"london","nkens",12299.9745208333
2001-10-21,"london","nkens",8251.44733333333
2001-10-22,"london","nkens",12191.1143020833
2001-10-23,"london","nkens",9504.61577083333
2001-10-24,"london","nkens",10132.44471875
2001-10-25,"london","nkens",9463.55013541667
2001-10-26,"london","nkens",8817.33235416667
2001-10-27,"london","nkens",11883.22990625
2001-10-28,"london","nkens",12842.71865625
2001-10-29,"london","nkens",12025.24059375
2001-10-30,"london","nkens",9663.0155625
2001-10-31,"london","nkens",10461.4956875
2001-11-01,"london","nkens",20956.2451684211
2001-11-02,"london","nkens",24323.3317708333
2001-11-03,"london","nkens",24650.2127083333
2001-11-04,"london","nkens",21158.6617291667
2001-11-05,"london","nkens",20746.1511354167
2001-11-06,"london","nkens",13985.9473229167
2001-11-07,"london","nkens",16297.50821875
2001-11-08,"london","nkens",11156.3928854167
2001-11-09,"london","nkens",17833.3706041667
2001-11-10,"london","nkens",24017.5622916667
2001-11-11,"london","nkens",14322.0717083333
2001-11-12,"london","nkens",22425.73246875
2001-11-13,"london","nkens",13460.6171354167
2001-11-14,"london","nkens",26728.4830208333
2001-11-15,"london","nkens",41394.220212766
2001-11-16,"london","nkens",29381.2073958333
2001-11-17,"london","nkens",24541.4447083333
2001-11-18,"london","nkens",17930.51759375
2001-11-19,"london","nkens",27168.0745625
2001-11-20,"london","nkens",33250.8688541667
2001-11-21,"london","nkens",21970.6641041667
2001-11-22,"london","nkens",17270.5494166667
2001-11-23,"london","nkens",35025.0335416667
2001-11-24,"london","nkens",26232.6333333333
2001-11-25,"london","nkens",15694.5121458333
2001-11-26,"london","nkens",42383.7994791667
2001-11-27,"london","nkens",29935.8234375
2001-11-28,"london","nkens",30414.8552083333
2001-11-29,"london","nkens",22381.6405
2001-11-30,"london","nkens",16094.7232916667
2001-12-01,"london","nkens",18921.05090625
2001-12-02,"london","nkens",36248.0548958333
2001-12-03,"london","nkens",33142.7558854167
2001-12-04,"london","nkens",25747.1091052632
2001-12-05,"london","nkens",18860.75596875
2001-12-06,"london","nkens",36424.8668958333
2001-12-07,"london","nkens",35833.2988541667
2001-12-08,"london","nkens",38246.4885416667
2001-12-09,"london","nkens",28318.6917708333
2001-12-10,"london","nkens",39522.5783333333
2001-12-11,"london","nkens",35821.7020833333
2001-12-12,"london","nkens",23926.2365729167
2001-12-13,"london","nkens",22129.9348958333
2001-12-14,"london","nkens",33889.1866666667
2001-12-15,"london","nkens",23139.0213541667
2001-12-16,"london","nkens",18734.7962291667
2001-12-17,"london","nkens",30332.9802083333
2001-12-18,"london","nkens",37812.4980416667
2001-12-19,"london","nkens",33316.2984947368
2001-12-20,"london","nkens",35093.665
2001-12-21,"london","nkens",21306.1614583333
2001-12-22,"london","nkens",23552.7958020833
2001-12-23,"london","nkens",27837.39571875
2001-12-24,"london","nkens",19251.0378125
2001-12-25,"london","nkens",14083.3411145833
2001-12-26,"london","nkens",23041.9709375
2001-12-27,"london","nkens",21035.4846145833
2001-12-28,"london","nkens",14972.75271875
2001-12-29,"london","nkens",24674.1387083333
2001-12-30,"london","nkens",21347.4425520833
2001-12-31,"london","nkens",33532.350375
2002-01-01,"london","nkens",41896.9403125
2002-01-02,"london","nkens",43269.7677083333
2002-01-03,"london","nkens",43001.321875
2002-01-04,"london","nkens",40479.1055789474
2002-01-05,"london","nkens",25125.2003125
2002-01-06,"london","nkens",16883.60265625
2002-01-07,"london","nkens",25507.9913541667
2002-01-08,"london","nkens",30141.0677083333
2002-01-09,"london","nkens",43742.0807291667
2002-01-10,"london","nkens",28147.9565625
2002-01-11,"london","nkens",30230.6474895833
2002-01-12,"london","nkens",NA
2002-01-13,"london","nkens",NA
2002-01-14,"london","nkens",NA
2002-01-15,"london","nkens",NA
2002-01-16,"london","nkens",NA
2002-01-17,"london","nkens",NA
2002-01-18,"london","nkens",NA
2002-01-19,"london","nkens",22939.600875
2002-01-20,"london","nkens",11116.92003125
2002-01-21,"london","nkens",14464.1443854167
